Unnamed: 0,RecordID,RID,Squib,ReactionOrder,Pre-Exp Factor Coeff,Pre-Exp Factor Power,Activation Energy,Reactant 1,Reactant 2,Reactant 3,Product 1,Product 2,Product 3,Temperature,Reaction Order
9722,12951.0,5581.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=9B8CD5AB77812D107A4CA43B3F69DD1F?id=2014AUZ/CAS2959-2975:4,2.0,2.57,-11,-190426,[None],[None],,[None],,,300,2.0
9724,12953.0,5583.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=06A1C418B6859290CBD8B76C03D0F485?id=2014AUZ/CAS2959-2975:5,2.0,1.97,-11,-169193,[None],[None],,[None],,,300,2.0
9729,12959.0,5588.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=696B92D06B0AA982C2B6E3330856CDE8?id=2005DON/BAU7732-7741:1,3.0,9.37,-33,,[None],[None],[None],[None],['[Hg]Cl'],,"293
 
K",3.0
9741,12973.0,5597.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=3458A1A3CB78742D7E22D91268306C6F?id=1992VIN/CHR8423-8426:1,2.0,3.7,-10,-3592,[None],[None],,['[Cl-].[Mg+2].[Cl-]'],[None],,305,2.0
9742,12974.0,5597.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=3458A1A3CB78742D7E22D91268306C6F?id=1982KAS/MAN630-631:5,2.0,4.52,-10,,[None],[None],,['[Cl-].[Mg+2].[Cl-]'],[None],,877,2.0
9757,12989.0,5601.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=FD38CCCE9C220AD9D345B8B0326FD056?id=1982KAS/MAN630-631:1,2.0,9.15,-10,,[None],[None],,[None],['[Br-].[Mg+2].[Br-]'],,873,2.0
9777,13029.0,5615.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=9A3F97723B7D38D7BEABC6C134273B53?id=2000COS/FON5517-5524:2,2.0,2.3,-10,-5970,[None],[None],,[None],[None],,530,2.0
9779,13051.0,5622.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=09D270DFFAC4E16039FB09B21AC736D1?id=1978CRO/HUS369-383:1,3.0,8.05,-32,515,[None],[None],,[None],,,300,3.0
9780,13052.0,5622.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=09D270DFFAC4E16039FB09B21AC736D1?id=1978CRO/HUS369-383:3,3.0,1.21,-31,2037,[None],[None],,[None],,,300,3.0
9781,13053.0,5622.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=09D270DFFAC4E16039FB09B21AC736D1?id=1978CRO/HUS369-383:4,3.0,1.22,-31,1946,[None],[None],,[None],,,300,3.0
9782,13054.0,5622.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=09D270DFFAC4E16039FB09B21AC736D1?id=1978CRO/HUS369-383:5,3.0,1.25,-31,1796,[None],[None],,[None],,,300,3.0
9783,13055.0,5622.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=09D270DFFAC4E16039FB09B21AC736D1?id=1978CRO/HUS369-383:6,3.0,1.34,-31,2336,[None],[None],,[None],,,300,3.0
9784,13056.0,5622.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=09D270DFFAC4E16039FB09B21AC736D1?id=1978CRO/HUS369-383:7,3.0,1.35,-31,2137,[None],[None],,[None],,,300,3.0
