ID,Pre-Exp Factor Coeff,Pre-Exp Factor Power,Activation Energy,Reactant 1,Reactant 2,Reactant 3,Product 1,Product 2,Product 3
1349,1,13,-88133,https://cactus.nci.nih.gov/chemical/structure/CH2ClCHCl%28.%29/smiles,,,https://cactus.nci.nih.gov/chemical/structure/CH2%3DCHCl/smiles,[None],
1350,1.66,-14,-92291,https://cactus.nci.nih.gov/chemical/structure/CH2ClCHCl%28.%29/smiles,,,[None],https://cactus.nci.nih.gov/chemical/structure/HCl/smiles,
1363,4.3,6,-110582,https://cactus.nci.nih.gov/chemical/structure/C2H5CH%28CH2Cl%292/smiles,,,https://cactus.nci.nih.gov/chemical/structure/HCl/smiles,https://cactus.nci.nih.gov/chemical/structure/CH2%3DC%28CH2Cl%29CH2CH3/smiles,
1364,4.8,11,-163795,https://cactus.nci.nih.gov/chemical/structure/C2H5CCl%28CH3%29CH2Cl/smiles,,,[None],https://cactus.nci.nih.gov/chemical/structure/HCl/smiles,
1371,3.16,13,-179593,https://cactus.nci.nih.gov/chemical/structure/%28CH3%292Si%3DSi%28CH3%292/smiles,,,https://cactus.nci.nih.gov/chemical/structure/%28CH3%293SiSi%28CH3%29/smiles,,
1375,1.54,-11,-4490,[None],,,https://cactus.nci.nih.gov/chemical/structure/CH2DCDCl%28.%29/smiles,https://cactus.nci.nih.gov/chemical/structure/DCl/smiles,
1376,9.4,-1,8223,[None],,,https://cactus.nci.nih.gov/chemical/structure/CH2DCDCl%28.%29/smiles,https://cactus.nci.nih.gov/chemical/structure/DCl/smiles,
1377,6.09,-10,-6477,[None],,,https://cactus.nci.nih.gov/chemical/structure/CFCl2CH2O%28.%29/smiles,https://cactus.nci.nih.gov/chemical/structure/ClO/smiles,
1378,2.14,-11,-3326,[None],,,https://cactus.nci.nih.gov/chemical/structure/CHD2CHCl%28.%29/smiles,https://cactus.nci.nih.gov/chemical/structure/HCl/smiles,
1379,2.6,-2,9395,[None],,,https://cactus.nci.nih.gov/chemical/structure/CHD2CHCl%28.%29/smiles,https://cactus.nci.nih.gov/chemical/structure/HCl/smiles,
1380,1.02,-11,-9811,[None],,,https://cactus.nci.nih.gov/chemical/structure/%28.%29CD2CHDCl/smiles,https://cactus.nci.nih.gov/chemical/structure/DCl/smiles,
